Month,Factory,Max_Capacity,Min_Capacity,Variable_Costs,Fixed_Costs
1,A,100000,20000,10,500
1,B,50000,20000,5,600
2,A,110000,20000,11,500
2,B,55000,20000,4,600
3,A,120000,20000,12,500
3,B,60000,20000,3,600
4,A,145000,20000,9,500
4,B,100000,20000,5,600
5,A,160000,20000,8,500
5,B,0,0,0,0
6,A,140000,20000,8,500
6,B,70000,20000,6,600
7,A,155000,20000,5,500
7,B,60000,20000,4,600
8,A,200000,20000,7,500
8,B,100000,20000,6,600
9,A,210000,20000,9,500
9,B,100000,20000,8,600
10,A,197000,20000,10,500
10,B,100000,20000,11,600
11,A,80000,20000,8,500
11,B,120000,20000,10,600
12,A,150000,20000,8,500
12,B,150000,20000,12,600
